"app","powerkW","star","Configuration1"
"aircon",2.745,0,"Ducted"
"aircon",2.825,0,"Non Ducted"
"aircon",2.085,0,"Non Ducted"
"aircon",3.15,1,"Ducted"
"aircon",4.915,0,"Ducted"
"aircon",4.915,0,"Ducted"
"aircon",3.2,0,"Ducted"
"aircon",4.395,0,"Ducted"
"aircon",5.125,0,"Ducted"
"aircon",8.22,0,"Ducted"
"aircon",3.4595,0,"Ducted"
"aircon",3.4595,0,"Ducted"
"aircon",10.97,0,"Ducted"
"aircon",2.375,0,"Ducted"
"aircon",3.295,0,"Ducted"
"aircon",13.8,0,"Ducted"
"aircon",17.09,0,"Ducted"
"aircon",19.65,0,"Ducted"
"aircon",13.15,0,"Ducted"
"aircon",11.85,0,"Ducted"
"aircon",3.55,0,"Ducted"
"aircon",2.13,0,"Non Ducted"
"aircon",2.45,0,"Ducted"
"aircon",13.3,0,"Ducted"
"aircon",17.195,0,"Ducted"
"aircon",16.995,0,"Ducted"
"aircon",2.395,0,"Ducted"
"aircon",2.395,0,"Ducted"
"aircon",2.395,0,"Ducted"
"aircon",2.805,0,"Ducted"
"aircon",2.805,0,"Ducted"
"aircon",2.805,0,"Ducted"
"aircon",4.515,0,"Ducted"
"aircon",4.515,0,"Ducted"
"aircon",4.515,0,"Ducted"
"aircon",5.33,0,"Ducted"
"aircon",5.33,0,"Ducted"
"aircon",5.33,0,"Ducted"
"aircon",6.345,0,"Ducted"
"aircon",6.345,0,"Ducted"
"aircon",6.345,0,"Ducted"
"aircon",7.45,0,"Ducted"
"aircon",7.45,0,"Ducted"
"aircon",7.45,0,"Ducted"
"aircon",9.555,0,"Ducted"
"aircon",9.555,0,"Ducted"
"aircon",9.555,0,"Ducted"
"aircon",10.9,0,"Ducted"
"aircon",10.9,0,"Ducted"
"aircon",10.9,0,"Ducted"
"aircon",12.45,0,"Ducted"
"aircon",12.45,0,"Ducted"
"aircon",12.45,0,"Ducted"
"aircon",15.83,0,"Ducted"
"aircon",15.83,0,"Ducted"
"aircon",15.83,0,"Ducted"
"aircon",14.35,0,"Ducted"
"aircon",14.35,0,"Ducted"
"aircon",14.35,0,"Ducted"
"aircon",18.15,0,"Ducted"
"aircon",18.15,0,"Ducted"
"aircon",18.15,0,"Ducted"
"aircon",3.55,0,"Ducted"
"aircon",3.975,0,"Ducted"
"aircon",3.975,0,"Ducted"
"aircon",0.68,3,"Non Ducted"
"aircon",2.335,1,"Non Ducted"
"aircon",0.97,2,"Non Ducted"
"aircon",3.77,0,"Non Ducted"
"aircon",4.2,0,"Non Ducted"
"aircon",3.755,0,"Non Ducted"
"aircon",4.2,0,"Non Ducted"
"aircon",0.61,3,"Non Ducted"
"aircon",0.85,3,"Non Ducted"
"aircon",1.32,2,"Non Ducted"
"aircon",5.51,0,"Ducted"
"aircon",5.51,0,"Ducted"
"aircon",5.51,0,"Ducted"
"aircon",2.4,2,"Non Ducted"
"aircon",2.81,2,"Non Ducted"
"aircon",4.275,1,"Non Ducted"
"aircon",1.55,2,"Non Ducted"
"aircon",4.91,0,"Ducted"
"aircon",4.175,0,"Ducted"
"aircon",2.96,2,"Non Ducted"
"aircon",4.695,0,"Ducted"
"aircon",0.84,2,"Non Ducted"
"aircon",2.075,1,"Non Ducted"
